nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour,catégorie de condition d’emploi,condition d’emploi libelle
NEMO,2080088,nicosulfuron (Nicosulfuron) 40.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Délai de rentrée,Condition: - 48 heures
NEMO,2080088,nicosulfuron (Nicosulfuron) 40.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,,Protection de l'opérateur,"Condition: - Pour protéger l'opérateur, porter : Pendant le mélange/chargement - Gants en nitrile certifiés EN 374-3 . - Combinaison de travail tissée en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . - EPI partiel (blouse) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée . - Bottes de protection conforme à la réglementation et selon la norme EN 13 832-3 . - Lunettes de sécurité conforme à la réglementation et selon la norme EN 166. Pendant l'application : Si application avec tracteur sans cabine - Lunettes de sécurité conforme à la réglementation et selon la norme EN 166 . - Gants en nitrile certifiés EN 374-3 à usage unique pendant l'application et dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation . - Bottes de protection conforme à la réglementation et selon la norme EN 13 832-3 . - Combinaison de travail tissée en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . Si application avec tracteur avec cabine - Gants certifiés pour la protection chimique selon la norme de référence EN 374-3 de type nitrile à usage unique dans le cas d'une intervention sur le matériel pendant la phase pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine . - Combinaison de travail tissée en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant . - Bottes de protection conforme à la réglementation et selon la norme EN 13 832-3. Pendant le nettoyage du matériel de pulvérisation - Gants en nitrile certifiés EN 374-3 . - Bottes de protection conforme à la réglementation et selon la norme EN 13 832-3 . - Lunettes de sécurité conforme à la réglementation et selon la norme EN 166 . - Combinaison de travail tissée en polyester 65 %/coton 35% avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée."
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.075,L/ha,,Délai de rentrée,Condition: - 6 heures
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.075,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application avec un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée. "
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.1,L/ha,,Délai de rentrée,Condition: - 6 heures
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.1,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application avec un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée. "
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.1,L/ha,,Délai de rentrée,Condition: - 6 heures
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.1,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application avec un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée. "
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.075,L/ha,,Délai de rentrée,Condition: - 6 heures
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.075,L/ha,,Protection de l'opérateur,"Condition: Dans le cadre d'une application avec un pulvérisateur à rampe • pendant le mélange/chargement  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée .  • pendant l'application  Si application avec tracteur avec cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation. Dans ce cas, les gants ne doivent être portés qu'à l'extérieur de la cabine et doivent être stockés après utilisation à l'extérieur de la cabine .  Si application avec tracteur sans cabine  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - Gants en nitrile certifiés EN 374-2 à usage unique, dans le cas d'une intervention sur le matériel pendant la phase de pulvérisation .  • pendant le nettoyage du matériel de pulvérisation  - Gants en nitrile certifiés EN 374-3 .  - Combinaison de travail en polyester 65 %/coton 35 % avec un grammage de 230 g/m² ou plus avec traitement déperlant .  - EPI partiel (blouse ou tablier à manches longues) de catégorie III et de type PB (3) à porter par-dessus la combinaison précitée. "
