nom produit,numero AMM,Substances actives,identifiant usage,etat usage,dose retenue,dose retenue unite,delai avant recolte jour
NEMO,2080088,nicosulfuron (Nicosulfuron) 40.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.075,L/ha,
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.1,L/ha,
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Orge*Désherbage,Autorisé,0.1,L/ha,
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.075,L/ha,
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.1,L/ha,
SARACEN DELTA,2190312,florasulame (Florasulam) 50.0 g/L | diflufénicanil (Diflufenican) 500.0 g/L,Blé*Désherbage,Autorisé,0.1,L/ha,
"BELEM 0,8 MG",2090050,cyperméthrine (Cypermethrin) 8.0 g/kg,Maïs doux*Trt Sol*Ravageurs du sol,Autorisé,12.0,kg/ha,
"BELEM 0,8 MG",2090050,cyperméthrine (Cypermethrin) 8.0 g/kg,Maïs*Trt Sol*Ravageurs du sol,Autorisé,12.0,kg/ha,
"BELEM 0,8 MG",2090050,cyperméthrine (Cypermethrin) 8.0 g/kg,Tournesol*Trt Sol*Ravageurs du sol,Autorisé,12.0,kg/ha,
KORIT 420 FS,2120041,zirame (Ziram) 420.0 g/L,Maïs*Trt Sem.*Répulsif Corbeaux,Autorisé,0.6,L/q,
TYRAN,9400336,chlorure de chlorméquat (Chlormequat) 460.0 g/L,Blé*Trt Part.Aer.*Régul. Croiss. Org. Aériens,Autorisé,2.0,L/ha,
TYRAN,9400336,chlorure de chlorméquat (Chlormequat) 460.0 g/L,Blé*Trt Part.Aer.*Régul. Croiss. Org. Aériens,Autorisé,1.0,L/ha,
TYRAN,9400336,chlorure de chlorméquat (Chlormequat) 460.0 g/L,Blé*Trt Part.Aer.*Régul. Croiss. Org. Aériens,Autorisé,2.0,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.0,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
CUTER,2220646,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
BAROUD SC,2030404,pendiméthaline (Pendimethalin) 400.0 g/L,Blé*Désherbage,Autorisé,2.5,L/ha,
BAROUD SC,2030404,pendiméthaline (Pendimethalin) 400.0 g/L,Orge*Désherbage,Autorisé,2.5,L/ha,
BAROUD SC,2030404,pendiméthaline (Pendimethalin) 400.0 g/L,Tournesol*Désherbage,Autorisé,3.0,L/ha,
NIKITA,2170358,nicosulfuron (Nicosulfuron) 100.0 g/kg | dicamba (Dicamba) 312.5 g/kg | mésotrione (Mesotrione) 150.0 g/kg,Maïs*Désherbage,Autorisé,0.6,kg/ha,
ALOHA,2190396,Metsulfuron-methyl (Metsulfuron-methyl) 200.0 g/kg,Orge*Désherbage,Autorisé,0.03,kg/ha,
MESOSTAR,2150084,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
MESOSTAR,2150084,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
MESOSTAR,2150084,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
KIDEKA,2170360,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,1.5,L/ha,
KIDEKA,2170360,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,1.5,L/ha,
KIDEKA,2170360,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
KIDEKA,2170360,mésotrione (Mesotrione) 100.0 g/L,Maïs doux*Désherbage,Autorisé,0.75,L/ha,
KIDEKA,2170360,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
KIDEKA,2170360,mésotrione (Mesotrione) 100.0 g/L,Maïs*Désherbage,Autorisé,0.75,L/ha,
QUICK 5% EC,2140099,quizalofop-P-éthyl (Quizalofop-P-ethyl) 50.0 g/L,Tournesol*Désherbage,Autorisé,3.0,L/ha,
OLORIM WG,2150020,rimsulfuron (Rimsulfuron) 25.0 %,Maïs*Désherbage,Autorisé,0.06,kg/ha,
BACKPACK,2150845,florasulame (Florasulam) 1.0 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.0 g/L,Maïs*Désherbage,Autorisé,1.2,L/ha,
BACKPACK,2150845,florasulame (Florasulam) 1.0 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.0 g/L,Orge*Désherbage,Autorisé,1.8,L/ha,
BACKPACK,2150845,florasulame (Florasulam) 1.0 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.0 g/L,Blé*Désherbage,Autorisé,1.8,L/ha,
BACKPACK,2150845,florasulame (Florasulam) 1.0 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.0 g/L,Blé*Désherbage,Autorisé,1.8,L/ha,
BACKPACK,2150845,florasulame (Florasulam) 1.0 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.0 g/L,Blé*Désherbage,Autorisé,1.8,L/ha,
BACKPACK,2150845,florasulame (Florasulam) 1.0 g/L | fluroxypyr-méptyl (Fluroxypyr) 144.0 g/L,Orge*Désherbage,Autorisé,1.8,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Orge*Désherbage,Autorisé,0.08,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Orge*Désherbage,Autorisé,0.15,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,0.08,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,0.15,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,0.15,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Orge*Désherbage,Autorisé,0.15,L/ha,
GLOBUS,2150870,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,0.15,L/ha,
COMPLEXUGEC,6600501,"2,4-D sel de diéthanolamine (2,4-D) 275.0 g/L | MCPA sel de diméthylamine (MCPA) 275.0 g/L",Orge*Désherbage,Autorisé,1.3,L/ha,
COMPLEXUGEC,6600501,"2,4-D sel de diéthanolamine (2,4-D) 275.0 g/L | MCPA sel de diméthylamine (MCPA) 275.0 g/L",Orge*Désherbage,Autorisé,1.5,L/ha,
COMPLEXUGEC,6600501,"2,4-D sel de diéthanolamine (2,4-D) 275.0 g/L | MCPA sel de diméthylamine (MCPA) 275.0 g/L",Blé*Désherbage,Autorisé,1.3,L/ha,
COMPLEXUGEC,6600501,"2,4-D sel de diéthanolamine (2,4-D) 275.0 g/L | MCPA sel de diméthylamine (MCPA) 275.0 g/L",Blé*Désherbage,Autorisé,1.5,L/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Orge*Désherbage,Autorisé,80.0,mL/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Orge*Désherbage,Autorisé,150.0,mL/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Orge*Désherbage,Autorisé,150.0,mL/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,150.0,mL/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,150.0,mL/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,80.0,mL/ha,
SARACEN,2140002,florasulame (Florasulam) 50.0 g/L,Blé*Désherbage,Autorisé,150.0,mL/ha,
RACER ME,8700020,flurochloridone (Flurochloridone) 250.0 g/L,Tournesol*Désherbage,Autorisé,3.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Orge*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Orge*Trt Part.Aer.*Helminthosporiose et ramulariose,Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Orge*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Orge*Trt Part.Aer.*Rhynchosporiose,Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Orge*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Blé*Trt Part.Aer.*Fusarioses,Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Blé*Trt Part.Aer.*Helminthosporiose,Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Blé*Trt Part.Aer.*Oïdium(s),Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Blé*Trt Part.Aer.*Piétin verse,Autorisé,1.0,L/ha,
MADISON,2100057,prothioconazole (Prothioconazole) 175.0 g/L | trifloxystrobine (Trifloxystrobin) 88.0 g/L,Blé*Trt Part.Aer.*Rouille(s),Autorisé,1.0,L/ha,
